HorseURL	RaceURL	Day	Kyoto	Tokyo	Nakayama	Hanshin	Tyukyo	Niigata	Kokura	Fukushima	Sapporo	Hakodate	Raceday	First	Maiden	Under500	Under1000	Under1600	Open	G3	G2	G1	Grass	Dirt	Distance	LightCo	LittleHeavyCo	HeavyCo	BadCo	wakuban	Umaban	Male	Female	Senba	barei	kinryou	kisyu	Time	RunningTime	Tyakusa	Ninki	Weight	zougen	Tansyou	Hukusyou	Wakuren	Umaren	Wide	Umatan	Sanrenpuku	Sanrentan	titi	Haha	TitiTiti	TitiHaha	hahatiti	HahaHaha	tyakujun	Tyoukyoushi
"http://db.netkeiba.com/horse/2002107488/"	"http://db.netkeiba.com/race/200501020409/"	"2005年9月19日"	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	1	0	1200	1	0	0	0	2	3	1	0	0	3	55	"http://db.netkeiba.com/jockey/01048/"	"1:10.9"	7090	"クビ"	8	482	6	"660"	"<td class=\"txt_r\">230<br>660<br>430</td>"	"1060"	"7310"	"<td class=\"txt_r\">2,240<br>1,260<br>4,450</td>"	"13230"	"27840"	"151930"	"/horse/ped/1992109618/"	"/horse/ped/1986106855/"	"/horse/ped/000a00033a/"	"/horse/ped/000a00021e/"	"/horse/ped/000a0003bd/"	"/horse/ped/1978106906/"	2	"/trainer/00434/"
"http://db.netkeiba.com/horse/2003105401/"	"http://db.netkeiba.com/race/200601020704/"	"2006年9月30日"	0	0	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0	0	1	0	1200	1	0	0	0	1	1	0	1	0	3	54	"http://db.netkeiba.com/jockey/01030/"	"1:12.1"	7210	"アタマ"	14	424	-8	"3030"	"<td class=\"txt_r\">520<br>160<br>2,650</td>"	"5780"	"5150"	"<td class=\"txt_r\">1,550<br>32,610<br>6,310</td>"	"13890"	"153700"	""	"/horse/ped/000a0000bf/"	"/horse/ped/000a006654/"	"/horse/ped/000a001b4d/"	"/horse/ped/000a00a7ef/"	"/horse/ped/000a0019b4/"	"/horse/ped/000a00a903/"	11	"/trainer/00216/"
"http://db.netkeiba.com/horse/1992100978/"	"http://db.netkeiba.com/race/199501010203/"	"1995年6月11日"	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	1700	1	0	0	0	3	3	1	0	0	4	55	"http://db.netkeiba.com/jockey/00642/"	"1:51.5"	11150	"5"	7	438	0	"250"	"<td class=\"txt_r\">130<br>140<br>230</td>"	"640"	"630"	""	""	""	""	"/horse/ped/000a0001a7/"	"/horse/ped/000a0006d5/"	"/horse/ped/000a001607/"	"/horse/ped/000a0091bb/"	"/horse/ped/000a0004e7/"	"/horse/ped/000a006d7e/"	7	"/trainer/00203/"
"http://db.netkeiba.com/horse/2007105854/"	"http://db.netkeiba.com/race/201010010607/"	"2010年8月1日"	0	0	0	0	0	0	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	1700	1	0	0	0	7	13	1	0	0	3	55	"http://db.netkeiba.com/jockey/01124/"	"1:48.3"	10830	"1.1/4"	5	432	2	"230"	"<td class=\"txt_r\">120<br>110<br>160</td>"	"310"	"330"	"<td class=\"txt_r\">180<br>330<br>250</td>"	"580"	"590"	"1850"	"/horse/ped/000a000082/"	"/horse/ped/2001106653/"	"/horse/ped/000a0012cb/"	"/horse/ped/000a00877c/"	"/horse/ped/1992109618/"	"/horse/ped/1991105389/"	6	"/trainer/01042/"
"http://db.netkeiba.com/horse/2007101341/"	"http://db.netkeiba.com/race/201204010209/"	"2012年5月6日"	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1200	0	0	1	0	4	6	1	0	0	5	57	"http://db.netkeiba.com/jockey/05243/"	"1:13.2"	7320	"1/2"	9	492	-4	"910"	"<td class=\"txt_r\">190<br>130<br>200</td>"	"890"	"890"	"<td class=\"txt_r\">350<br>690<br>400</td>"	"2440"	"1690"	"12450"	"/horse/ped/000a00fe9b/"	"/horse/ped/2000103667/"	"/horse/ped/000a00010f/"	"/horse/ped/000a00fefe/"	"/horse/ped/000a000d89/"	"/horse/ped/1985102238/"	10	"/trainer/01048/"
"http://db.netkeiba.com/horse/1999104928/"	"http://db.netkeiba.com/race/200108050211/"	"2001年11月4日"	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1400	1	0	0	0	2	4	0	1	0	2	54	"http://db.netkeiba.com/jockey/00700/"	"1:23.4"	8340	"クビ"	9	476	4	"390"	"<td class=\"txt_r\">170<br>320<br>260</td>"	"1460"	"2310"	"<td class=\"txt_r\">880<br>780<br>1,260</td>"	""	""	""	"/horse/ped/000a0020b1/"	"/horse/ped/000a00670e/"	"/horse/ped/000a000287/"	"/horse/ped/000a009016/"	"/horse/ped/000a002134/"	"/horse/ped/000a00acc1/"	9	"/trainer/00431/"
"http://db.netkeiba.com/horse/1993100811/"	"http://db.netkeiba.com/race/199710010510/"	"1997年2月8日"	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	1	0	1200	1	0	0	0	5	9	0	1	0	5	54	"http://db.netkeiba.com/jockey/00696/"	"1:11.1"	7110	"クビ"	13	424	8	"810"	"<td class=\"txt_r\">230<br>250<br>190</td>"	"3530"	"3610"	""	""	""	""	"/horse/ped/1980106362/"	"/horse/ped/1979103265/"	"/horse/ped/000a0004ce/"	"/horse/ped/1955105079/"	"/horse/ped/000a000117/"	"/horse/ped/1955101853/"	10	"/trainer/00308/"
"http://db.netkeiba.com/horse/1999105604/"	"http://db.netkeiba.com/race/200206040308/"	"2002年11月9日"	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1200	1	0	0	0	2	4	1	0	0	3	55	"http://db.netkeiba.com/jockey/00672/"	"1:12.1"	7210	"クビ"	16	476	8	"1630"	"<td class=\"txt_r\">380<br>130<br>410</td>"	"1740"	"1900"	"<td class=\"txt_r\">880<br>3,170<br>780</td>"	"6700"	"11370"	""	"/horse/ped/000a0000c5/"	"/horse/ped/1988101769/"	"/horse/ped/000a001607/"	"/horse/ped/000a00903e/"	"/horse/ped/1982103542/"	"/horse/ped/1955101611/"	6	"/trainer/01017/"
"http://db.netkeiba.com/horse/1985100675/"	"http://db.netkeiba.com/race/199008040811/"	"1990年11月25日"	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	1	0	2000	1	0	0	0	4	5	0	1	0	6	56	"http://db.netkeiba.com/jockey/00617/"	"2:01.9"	12190	"1.1/4"	4	444	-4	"190"	"<td class=\"txt_r\">120<br>310<br>140</td>"	"1350"	""	""	""	""	""	"/horse/ped/1977106464/"	"/horse/ped/1978104112/"	"/horse/ped/000a00081c/"	"/horse/ped/1955103119/"	"/horse/ped/000a000117/"	"/horse/ped/1964101092/"	8	"/trainer/00197/"
"http://db.netkeiba.com/horse/2011104249/"	"http://db.netkeiba.com/race/201305050804/"	"2013年11月24日"	0	1	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	0	2000	1	0	0	0	4	7	0	1	0	2	53	"http://db.netkeiba.com/jockey/01140/"	"2:06.0"	12600	"3"	14	438	0	"650"	"<td class=\"txt_r\">260<br>290<br>900</td>"	"650"	"2730"	"<td class=\"txt_r\">1,010<br>3,630<br>3,280</td>"	"5100"	"27240"	"103340"	"/horse/ped/000a011135/"	"/horse/ped/2004103190/"	"/horse/ped/000a00fa4a/"	"/horse/ped/000a00fa62/"	"/horse/ped/1998101554/"	"/horse/ped/1992190003/"	12	"/trainer/00208/"
